Materials | What does PPF stand for? | Paint Protection Film | Polyurethane Protective Foil | Painted Polymer Finish | Painters' Performance Film | A | Paint Protection Film. The film body itself is almost always TPU (thermoplastic polyurethane).
Materials | What polymer is the body of a modern self-healing PPF made from? | PVC | TPU | Polyester | Acrylic | B | TPU (thermoplastic polyurethane). It's elastic enough to stretch around curves and tough enough to absorb impacts.
Materials | How does the self-healing top coat work? | The adhesive re-bonds | Polymer chains in the top coat re-set when heated | Solvents fill the scratch | The film stretches back into shape | B | Light scratches push the polymer chains out of place but they stay connected. Heat lets them re-set to where they were.
Materials | A standard-grade PPF for car body panels is typically how thick? | About 75 microns | About 150 microns (6 mil) | About 300 microns | About 500 microns | B | 6 mil (~150 µm) is the industry standard. Thicker grades (8 mil and up) exist for high-impact areas.
Materials | What's the release liner on PPF for? | UV protection | Keeping the adhesive clean before install | Stabilising colour | Adding thickness | B | The liner protects the adhesive until you're ready to position the film. Peel it off only when you're about to lay the film.
Materials | What's slip solution used for? | Cleaning the panel | Cooling the film | Letting the film slide on the adhesive before squeegeeing | Hardening the top coat | C | Slip solution (soapy water) lets you position the film. Squeegee it out and the adhesive bonds.
Materials | A matt PPF achieves its finish through... | A different polymer entirely | A textured top coat that scatters light | Removing the top coat | A wax applied at install | B | The film body is the same TPU. The matt look comes from a micro-textured top coat that diffuses reflections.
Materials | What's the typical minimum application temperature most PPF brands specify? | Below 0°C | 5°C | 20°C | 30°C | C | Around 20°C is the usual floor, with 22–25°C as the sweet spot for application. Below the minimum, the adhesive doesn't tack properly and the film is too stiff to shape.
Application | Before lifting the liner on a complex panel, you should... | Heat the panel to 50°C | Plan the stretch direction | Apply slip solution to the panel | Trim the film to final shape | B | Planning where you'll stretch — and where you won't — happens before any film comes off the roll. Once it's down, you live with your plan.
Application | What decides the squeegee direction on a panel? | Always horizontal | Always vertical | The shape of the panel, the stretch, and where the film is already anchored | Always from the centre outward | C | There is no fixed direction. On a perfectly flat, neutral panel, centre-outward works — but that panel barely exists on a car. You squeegee away from the point where the film is already set, following the stretch and the shape of the panel, so water and air keep a route out.
Application | To handle a sharp body line crease, the best approach is... | Stretch harder across the line | Cut a relief slit straight across it | Set the crease first, then work outward | Skip it and squeegee normally | C | Lock the crease while the surrounding film is still loose. Working out from a set line is much easier than trying to set it later.
